# geo_10.0_sim_0 geo_10.0_sim_80 geo_10.0_sim_81 geo_10.0_sim_82 geo_10.0_sim_83 geo_10.0_sim_84 geo_10.0_sim_85 geo_10.0_sim_86 geo_10.0_sim_87 geo_10.0_sim_88 geo_10.0_sim_89 geo_10.0_sim_90 geo_10.0_sim_91 geo_10.0_sim_92 geo_10.0_sim_93 geo_10.0_sim_94 geo_10.0_sim_95 geo_10.0_sim_96 geo_10.0_sim_97 geo_10.0_sim_98 geo_10.0_sim_99
-2.118336715999999797e+03 -2.048916287999999895e+03 -2.070949379000000135e+03 -2.075360334999999850e+03 -2.173810124000000087e+03 -2.014447930999999926e+03 -2.113921182000000044e+03 -2.088099391000000196e+03 -2.167159259000000020e+03 -2.027690380000000005e+03 -2.113967908999999963e+03 -2.233530976999999893e+03 -2.032965537999999924e+03 -2.122154885999999806e+03 -1.967166574999999966e+03 -2.029583450999999968e+03 -2.195577510000000075e+03 -2.108606056999999964e+03 -2.036659628000000112e+03 -1.978259722000000011e+03 -2.069763964000000215e+03
7.481819999999999915e+00 7.492270000000000429e+00 8.983639999999999404e+00 9.783490000000000464e+00 8.444549999999999557e+00 8.879049999999999443e+00 8.410840000000000316e+00 1.036505000000000010e+01 9.323410000000000863e+00 7.669749999999999623e+00 9.076000000000000512e+00 8.131949999999999790e+00 8.874480000000000146e+00 7.778260000000000396e+00 1.335174999999999912e+01 7.225439999999999863e+00 9.133490000000000109e+00 9.176489999999999370e+00 9.760490000000000776e+00 1.057358999999999938e+01 9.807740000000000791e+00
1.028010000000000090e+00 1.062149999999999928e+00 1.096030000000000060e+00 9.903499999999999526e-01 7.061699999999999644e-01 1.006669999999999954e+00 9.965199999999999614e-01 1.013460000000000027e+00 1.020939999999999959e+00 1.459249999999999936e+00 1.063299999999999912e+00 1.137000000000000011e+00 1.292079999999999895e+00 9.374900000000000455e-01 1.035570000000000102e+00 1.016790000000000083e+00 9.457600000000000451e-01 1.098649999999999904e+00 1.267679999999999918e+00 1.264650000000000052e+00 1.004820000000000046e+00
3.999999999999999819e-06 3.999999999999999819e-06 6.020000000000000177e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.710000000000000190e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 9.107000000000000511e-03 8.610000000000000032e-04 9.000000000000000567e-05 3.999999999999999819e-06 1.113999999999999973e-03 1.359100000000000065e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 4.741999999999999688e-03
2.622479999999999811e-01 2.097489999999999910e-01 2.370500000000000107e-01 2.117040000000000033e-01 2.457249999999999990e-01 2.162600000000000078e-01 3.168000000000000260e-01 2.246489999999999876e-01 1.811740000000000017e-01 2.332599999999999951e-01 2.385819999999999885e-01 2.291410000000000113e-01 2.847219999999999751e-01 2.647900000000000253e-01 2.529600000000000182e-01 2.349680000000000102e-01 2.905920000000000170e-01 2.521370000000000000e-01 2.339279999999999970e-01 2.856659999999999755e-01 2.176059999999999939e-01
1.541900000000000041e-02 8.219000000000000611e-03 1.136000000000000074e-03 2.436599999999999877e-02 1.293099999999999979e-02 3.999999999999999819e-06 1.062399999999999976e-02 5.407999999999999613e-03 9.802999999999999214e-03 3.999999999999999819e-06 3.999999999999999819e-06 8.503999999999999407e-03 3.999999999999999819e-06 1.468099999999999961e-02 3.999999999999999819e-06 2.085199999999999901e-02 5.880999999999999943e-03 1.633799999999999836e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.260700000000000015e-02
1.531569999999999876e-01 1.833319999999999950e-01 9.771699999999999831e-02 1.757340000000000013e-01 2.050549999999999873e-01 1.228619999999999990e-01 1.736959999999999893e-01 2.418450000000000044e-01 2.147360000000000102e-01 1.875509999999999955e-01 2.205419999999999880e-01 1.613320000000000032e-01 1.697809999999999875e-01 1.573410000000000086e-01 1.497840000000000005e-01 2.066620000000000124e-01 2.199029999999999874e-01 2.375120000000000009e-01 2.292009999999999881e-01 1.634529999999999872e-01 2.091929999999999901e-01
1.630649999999999877e-01 1.442070000000000018e-01 1.573479999999999879e-01 2.193749999999999867e-01 2.256289999999999962e-01 1.838220000000000132e-01 2.101369999999999905e-01 2.327879999999999949e-01 1.541130000000000000e-01 1.483059999999999934e-01 1.841899999999999926e-01 1.836419999999999997e-01 1.764400000000000135e-01 1.543819999999999915e-01 1.653360000000000107e-01 1.405790000000000095e-01 1.724700000000000122e-01 1.758389999999999953e-01 2.045260000000000133e-01 1.565100000000000102e-01 1.826019999999999865e-01
2.216299999999999867e-02 4.508000000000000201e-02 5.474199999999999899e-02 3.999999999999999819e-06 4.063499999999999751e-02 5.083900000000000224e-02 4.252399999999999930e-02 4.592899999999999761e-02 6.582399999999999363e-02 5.263299999999999923e-02 6.370199999999999474e-02 8.599099999999999799e-02 3.171700000000000214e-02 3.034500000000000045e-02 4.492499999999999966e-02 2.350700000000000012e-02 8.683699999999999752e-02 7.977599999999999969e-02 3.424200000000000160e-02 3.604500000000000065e-02 4.682900000000000257e-02
4.051400000000000140e-02 3.666300000000000114e-02 9.256999999999999604e-03 5.671600000000000252e-02 6.729999999999999871e-03 4.128199999999999925e-02 3.907599999999999962e-02 4.032399999999999873e-02 1.901500000000000065e-02 2.113599999999999854e-02 2.035999999999999963e-02 5.555800000000000322e-02 3.196399999999999936e-02 1.412700000000000067e-02 2.959200000000000025e-02 3.140300000000000036e-02 6.382699999999999485e-02 1.254599999999999986e-02 2.385400000000000020e-02 3.075800000000000062e-02 2.681000000000000050e-02
