# geo_10.0_sim_0 geo_10.0_sim_80 geo_10.0_sim_81 geo_10.0_sim_82 geo_10.0_sim_83 geo_10.0_sim_84 geo_10.0_sim_85 geo_10.0_sim_86 geo_10.0_sim_87 geo_10.0_sim_88 geo_10.0_sim_89 geo_10.0_sim_90 geo_10.0_sim_91 geo_10.0_sim_92 geo_10.0_sim_93 geo_10.0_sim_94 geo_10.0_sim_95 geo_10.0_sim_96 geo_10.0_sim_97 geo_10.0_sim_98 geo_10.0_sim_99
6.788700000000000290e-02 1.996799999999999964e-02 2.442300000000000026e-02 7.282399999999999984e-02 4.481700000000000267e-02 2.488399999999999987e-02 5.483299999999999980e-02 4.427299999999999985e-02 2.024799999999999864e-02 9.242000000000000215e-03 3.236800000000000094e-02 3.206699999999999828e-02 5.973300000000000137e-02 5.902199999999999808e-02 3.297599999999999837e-02 1.294299999999999964e-02 6.777199999999999891e-02 4.748700000000000143e-02 3.951699999999999657e-02 3.782800000000000051e-02 8.917899999999999439e-02
1.181569999999999981e-01 8.833299999999999486e-02 1.338239999999999985e-01 9.680999999999999328e-02 9.369099999999999651e-02 1.284919999999999951e-01 1.031750000000000028e-01 6.695600000000000163e-02 1.057130000000000014e-01 1.047629999999999950e-01 7.554500000000000104e-02 9.705900000000000638e-02 8.943600000000000161e-02 8.926699999999999913e-02 7.622099999999999709e-02 9.957900000000000085e-02 7.876900000000000568e-02 9.325799999999999368e-02 8.709600000000000675e-02 1.380589999999999873e-01 7.843300000000000272e-02
2.204400000000000109e-02 3.752599999999999686e-02 3.629899999999999793e-02 3.731099999999999695e-02 4.392800000000000177e-02 5.011499999999999982e-02 3.019600000000000062e-02 5.708300000000000179e-02 3.235099999999999781e-02 2.818800000000000125e-02 8.316999999999999393e-02 2.503700000000000023e-02 3.812000000000000111e-02 2.957200000000000106e-02 3.076399999999999968e-02 4.838499999999999746e-02 1.558099999999999936e-02 6.498299999999999910e-02 3.095399999999999888e-02 1.911099999999999952e-02 5.215399999999999897e-02
7.416399999999999382e-02 9.380700000000000149e-02 1.405550000000000133e-01 7.134799999999999476e-02 4.355799999999999950e-02 6.637899999999999356e-02 8.153299999999999437e-02 3.424499999999999766e-02 1.073739999999999972e-01 1.094050000000000022e-01 6.983699999999999630e-02 1.296920000000000017e-01 5.737300000000000039e-02 9.784099999999999742e-02 4.289099999999999857e-02 7.148699999999999499e-02 6.647300000000000431e-02 5.091999999999999998e-02 5.676099999999999896e-02 1.004950000000000010e-01 6.545900000000000329e-02
1.026009999999999978e-01 5.501099999999999740e-02 8.037700000000000400e-02 1.203700000000000082e-02 2.821699999999999903e-02 1.122800000000000013e-02 5.314300000000000274e-02 2.120999999999999969e-02 2.485199999999999909e-02 4.115400000000000308e-02 2.305099999999999857e-02 7.499799999999999522e-02 3.781199999999999839e-02 4.585399999999999893e-02 3.253600000000000242e-02 5.241599999999999732e-02 6.656700000000000117e-02 4.421699999999999936e-02 5.676799999999999902e-02 2.630199999999999899e-02 4.161299999999999721e-02
2.609200000000000061e-02 7.672299999999999953e-02 1.016520000000000062e-01 7.647800000000000431e-02 1.735839999999999883e-01 1.241980000000000028e-01 7.431899999999999618e-02 6.636100000000000332e-02 1.146589999999999970e-01 1.124760000000000065e-01 8.094600000000000406e-02 8.576999999999999902e-02 8.321299999999999530e-02 1.063550000000000051e-01 8.799800000000000677e-02 1.294559999999999877e-01 1.135219999999999979e-01 4.377400000000000041e-02 8.344699999999999340e-02 4.855700000000000294e-02 9.063799999999999635e-02
1.654940000000000022e-01 1.815340000000000009e-01 2.033520000000000050e-01 2.376669999999999894e-01 1.858209999999999862e-01 1.959730000000000083e-01 1.829060000000000130e-01 2.163859999999999950e-01 1.869520000000000071e-01 1.761949999999999905e-01 2.155789999999999929e-01 1.963689999999999880e-01 1.457650000000000057e-01 2.302649999999999975e-01 2.520060000000000078e-01 1.935070000000000123e-01 2.280679999999999930e-01 2.309120000000000061e-01 2.162850000000000050e-01 1.548640000000000017e-01 1.716689999999999883e-01
2.252740000000000020e-01 1.513400000000000023e-01 2.698710000000000275e-01 2.499570000000000125e-01 1.623300000000000021e-01 1.787479999999999902e-01 1.679869999999999974e-01 1.869540000000000091e-01 1.379219999999999891e-01 2.005909999999999915e-01 1.932490000000000041e-01 2.118190000000000073e-01 1.503549999999999887e-01 2.087710000000000121e-01 2.175850000000000006e-01 1.449900000000000078e-01 1.586329999999999962e-01 1.549540000000000084e-01 1.705780000000000074e-01 1.743260000000000087e-01 1.635459999999999969e-01
3.035099999999999951e-02 4.885199999999999959e-02 1.150299999999999934e-02 1.786599999999999994e-02 3.500099999999999739e-02 6.194500000000000006e-02 2.746600000000000083e-02 1.624199999999999949e-02 2.954199999999999882e-02 4.455999999999999892e-03 2.354099999999999943e-02 5.718899999999999678e-02 4.489100000000000035e-02 3.672700000000000270e-02 5.576799999999999813e-02 3.876600000000000185e-02 1.985599999999999865e-02 4.339099999999999902e-02 1.235400000000000040e-02 3.603999999999999999e-03 2.619300000000000100e-02
4.864000000000000268e-02 4.190800000000000081e-02 1.422499999999999980e-02 3.187799999999999662e-02 8.320099999999999718e-02 4.209000000000000241e-02 6.262900000000000411e-02 3.751700000000000174e-02 7.951999999999999347e-02 2.957100000000000006e-02 2.726200000000000151e-02 6.368899999999999562e-02 4.085500000000000242e-02 2.952499999999999916e-02 5.211000000000000354e-03 1.161399999999999932e-02 8.408000000000000543e-03 3.237500000000000100e-02 4.434899999999999953e-02 1.950999999999999956e-02 5.700999999999999818e-02
5.891600000000000309e-02 9.235999999999999766e-02 3.288300000000000251e-02 5.682399999999999951e-02 4.238399999999999807e-02 3.048400000000000068e-02 3.709699999999999803e-02 7.716800000000000048e-02 4.861300000000000343e-02 3.533300000000000329e-02 6.484900000000000386e-02 5.383700000000000291e-02 4.799400000000000194e-02 3.712599999999999928e-02 5.621400000000000008e-02 5.684800000000000270e-02 4.500200000000000033e-02 5.414800000000000169e-02 3.338800000000000101e-02 5.833399999999999697e-02 3.999999999999999819e-06
1.468349999999999933e-01 1.063780000000000003e-01 1.242179999999999951e-01 1.153070000000000067e-01 1.324990000000000057e-01 7.205300000000000593e-02 1.227179999999999938e-01 1.563680000000000070e-01 1.886740000000000084e-01 9.193800000000000583e-02 1.576239999999999863e-01 1.131859999999999949e-01 7.104000000000000592e-02 1.231270000000000003e-01 9.143099999999999838e-02 6.365500000000000325e-02 1.048260000000000025e-01 8.622100000000000597e-02 7.562499999999999778e-02 1.766060000000000130e-01 1.254869999999999874e-01
3.999999999999999819e-06 1.169000000000000074e-02 4.891000000000000382e-03 2.430200000000000068e-02 5.683200000000000057e-02 5.794099999999999945e-02 6.590000000000000371e-03 4.141899999999999749e-02 1.654800000000000021e-02 7.409999999999999920e-02 1.774200000000000083e-02 2.495700000000000002e-02 3.836400000000000227e-02 3.175200000000000244e-02 2.055500000000000035e-02 7.112499999999999378e-02 7.222000000000000641e-02 8.338600000000000179e-02 1.746100000000000083e-02 3.097600000000000006e-02 4.867699999999999805e-02
1.370689999999999964e-01 6.338199999999999390e-02 1.094979999999999981e-01 7.882799999999999530e-02 9.139200000000000101e-02 4.280500000000000277e-02 7.744600000000000095e-02 7.491299999999999348e-02 1.220929999999999932e-01 6.381799999999999973e-02 8.045599999999999974e-02 1.310709999999999931e-01 1.050510000000000055e-01 1.375879999999999881e-01 6.623800000000000521e-02 5.909299999999999969e-02 1.121609999999999968e-01 7.660000000000000142e-02 5.555399999999999922e-02 3.847199999999999925e-02 6.449699999999999878e-02
2.166799999999999976e-02 3.081499999999999864e-02 1.928399999999999906e-02 1.376299999999999919e-02 3.787800000000000195e-02 2.881299999999999834e-02 2.748899999999999955e-02 3.805399999999999755e-02 6.404100000000000070e-02 1.009000000000000001e-02 4.139700000000000324e-02 1.260499999999999989e-02 1.002399999999999992e-02 2.437399999999999983e-02 3.755000000000000004e-02 2.619700000000000153e-02 4.458299999999999763e-02 3.314099999999999685e-02 3.989000000000000185e-02 2.542300000000000115e-02 1.798800000000000052e-02
7.294299999999999395e-02 6.244000000000000244e-02 8.238800000000000290e-02 7.467100000000000126e-02 7.584499999999999575e-02 6.002600000000000297e-02 7.362699999999999800e-02 5.628600000000000270e-02 1.148580000000000018e-01 9.854100000000000359e-02 6.765699999999999492e-02 1.235900000000000054e-01 1.037269999999999998e-01 6.413599999999999857e-02 8.425000000000000544e-02 4.940699999999999953e-02 6.258500000000000174e-02 6.837600000000000622e-02 1.425970000000000015e-01 6.833100000000000285e-02 1.020169999999999966e-01
# ll kappa omega N0_N6 N0_kluyveriYDR418W N0_N1 N1_N2 N1_castelliiYDR418W N2_bayanusYDR418W N2_N3 N3_N4 N3_kudriavzeviiYDR418W N4_N5 N4_mikataeYDR418W N5_paradoxusYDR418W N5_cerevisiaeYDR418W N6_N7 N6_castelliiYEL054C N7_N8 N7_bayanusYEL054C N8_N9 N8_kudriavzeviiYEL054C N9_N10 N9_mikataeYEL054C N10_paradoxusYEL054C N10_cerevisiaeYEL054C
