# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 %IGC 
0.0	0.118609406953	0	0	0	0	0.0
1.29187687305e-05	0.116564417178	0	1	1	0	1.0
0.00118635244478	0.118609406953	1	1	1	0	0.666666666667
0.00313243762206	0.118609406953	1	2	1	0	0.8
0.0036362793152	0.118609406953	1	3	1	0	0.857142857143
0.00567169743335	0.118609406953	1	4	1	0	0.888888888889
0.00577836606983	0.118609406953	2	4	1	0	0.8
0.0066097418796	0.118609406953	2	5	1	0	0.833333333333
0.00805014917297	0.118609406953	2	6	1	0	0.857142857143
0.0105003158557	0.120654396728	3	6	1	0	0.8
0.010957841372	0.118609406953	4	6	1	0	0.75
0.0111322652564	0.118609406953	4	7	1	0	0.777777777778
0.0112635667193	0.118609406953	4	8	1	0	0.8
0.0127496834238	0.118609406953	4	9	1	0	0.818181818182
0.0130032807542	0.120654396728	5	9	1	0	0.782608695652
0.0140961375488	0.120654396728	5	10	1	0	0.8
0.0183062587282	0.122699386503	6	10	1	0	0.769230769231
0.0204083697826	0.122699386503	6	11	1	0	0.785714285714
0.0222620183874	0.122699386503	6	12	1	0	0.8
0.024628459406	0.122699386503	6	13	1	0	0.8125
0.0260971592011	0.122699386503	6	14	1	0	0.823529411765
0.0262090036358	0.122699386503	6	15	1	0	0.833333333333
