# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 %IGC 
0.0	0.143149284254	0	0	0	0	0.0
0.000352564409568	0.143149284254	0	1	1	0	1.0
0.000400221476288	0.141104294479	0	2	1	0	1.0
0.000854316228335	0.141104294479	0	3	1	0	1.0
0.00112872696793	0.141104294479	0	4	1	0	1.0
0.00442648462131	0.141104294479	0	5	1	0	1.0
0.00817444249179	0.141104294479	0	6	1	0	1.0
0.0087499602736	0.141104294479	0	7	1	0	1.0
0.0110744936709	0.139059304703	0	8	1	0	1.0
0.0136934145716	0.139059304703	0	9	1	0	1.0
0.0144873932366	0.139059304703	0	10	1	0	1.0
0.0146000772466	0.141104294479	1	10	1	0	0.952380952381
0.0148060193634	0.143149284254	2	10	1	0	0.909090909091
0.0148552921873	0.143149284254	2	11	1	0	0.916666666667
0.0184571090163	0.143149284254	2	12	1	0	0.923076923077
0.0210010163608	0.143149284254	2	13	1	0	0.928571428571
0.0222707408491	0.143149284254	2	14	1	0	0.933333333333
0.024238024675	0.141104294479	2	15	1	0	0.9375
0.0289372765229	0.141104294479	2	16	1	0	0.941176470588
0.0298801853357	0.143149284254	3	16	1	0	0.914285714286
0.0323776322521	0.145194274029	4	16	1	0	0.888888888889
0.0324291267014	0.145194274029	4	17	1	0	0.894736842105
0.0331177026242	0.145194274029	4	18	1	0	0.9
0.033779593623	0.145194274029	4	19	1	0	0.904761904762
0.0355315423125	0.145194274029	4	20	1	0	0.909090909091
0.0368893954945	0.147239263804	5	20	1	0	0.888888888889
0.0393448052709	0.149284253579	6	20	1	0	0.869565217391
0.0397940327873	0.151329243354	7	20	1	0	0.851063829787
0.0434762114508	0.151329243354	7	21	1	0	0.857142857143
0.0457049675498	0.149284253579	8	21	1	0	0.84
0.0457175323574	0.149284253579	9	21	1	0	0.823529411765
0.0459688671232	0.149284253579	10	21	1	0	0.807692307692
0.0472585476772	0.147239263804	10	22	1	0	0.814814814815
0.0496953867418	0.147239263804	10	23	1	0	0.821428571429
0.0526594719755	0.147239263804	10	24	1	0	0.827586206897
0.0527043225941	0.147239263804	10	25	1	0	0.833333333333
0.0534971822427	0.145194274029	11	25	1	0	0.819672131148
0.0541187954667	0.147239263804	12	25	1	0	0.806451612903
0.054434601436	0.145194274029	12	26	1	0	0.8125
0.0565339805207	0.145194274029	12	27	1	0	0.818181818182
