# geo_300.0_sim_0 geo_300.0_sim_16 geo_300.0_sim_17 geo_300.0_sim_18 geo_300.0_sim_19 geo_300.0_sim_20 geo_300.0_sim_21 geo_300.0_sim_22 geo_300.0_sim_23 geo_300.0_sim_24 geo_300.0_sim_25 geo_300.0_sim_26 geo_300.0_sim_27 geo_300.0_sim_28 geo_300.0_sim_29 geo_300.0_sim_30 geo_300.0_sim_31 geo_300.0_sim_32 geo_300.0_sim_33 geo_300.0_sim_34 geo_300.0_sim_35 geo_300.0_sim_36 geo_300.0_sim_37 geo_300.0_sim_38 geo_300.0_sim_39 geo_300.0_sim_40 geo_300.0_sim_41 geo_300.0_sim_42 geo_300.0_sim_43 geo_300.0_sim_44 geo_300.0_sim_45 geo_300.0_sim_46 geo_300.0_sim_47 geo_300.0_sim_48 geo_300.0_sim_49 geo_300.0_sim_50 geo_300.0_sim_51 geo_300.0_sim_52 geo_300.0_sim_53 geo_300.0_sim_54 geo_300.0_sim_55 geo_300.0_sim_56 geo_300.0_sim_57 geo_300.0_sim_58 geo_300.0_sim_59 geo_300.0_sim_60 geo_300.0_sim_61 geo_300.0_sim_62 geo_300.0_sim_63 geo_300.0_sim_64 geo_300.0_sim_65 geo_300.0_sim_66 geo_300.0_sim_67 geo_300.0_sim_68 geo_300.0_sim_69 geo_300.0_sim_70 geo_300.0_sim_71 geo_300.0_sim_72 geo_300.0_sim_73 geo_300.0_sim_74 geo_300.0_sim_75 geo_300.0_sim_76 geo_300.0_sim_77 geo_300.0_sim_78 geo_300.0_sim_79 geo_300.0_sim_80 geo_300.0_sim_81 geo_300.0_sim_82 geo_300.0_sim_83 geo_300.0_sim_84 geo_300.0_sim_85 geo_300.0_sim_86 geo_300.0_sim_87 geo_300.0_sim_88 geo_300.0_sim_89 geo_300.0_sim_90 geo_300.0_sim_91 geo_300.0_sim_92 geo_300.0_sim_93 geo_300.0_sim_94 geo_300.0_sim_95 geo_300.0_sim_96 geo_300.0_sim_97 geo_300.0_sim_98 geo_300.0_sim_99
-2.171227764000000207e+03 -2.041149750000000040e+03 -2.053713229999999839e+03 -2.096331533000000036e+03 -2.010141472000000022e+03 -2.272666747000000214e+03 -2.258328366000000187e+03 -2.264058798999999908e+03 -2.154026519000000008e+03 -2.263055245000000014e+03 -2.011859020999999984e+03 -2.035327980999999909e+03 -1.996740831000000071e+03 -1.958946940999999924e+03 -1.954907042999999931e+03 -2.095394690000000082e+03 -2.026633589999999913e+03 -1.906398102000000108e+03 -2.099728038000000197e+03 -2.248757917999999790e+03 -1.996617784999999913e+03 -2.200945784000000003e+03 -2.120713237999999819e+03 -1.837794869000000062e+03 -2.023921407999999929e+03 -1.897171055000000024e+03 -1.998369594999999890e+03 -2.015314407000000074e+03 -2.100260259000000133e+03 -1.953730970000000070e+03 -1.941491406999999981e+03 -2.190312178000000131e+03 -1.947078702000000021e+03 -2.168017753000000084e+03 -2.086073918000000049e+03 -2.146532289000000219e+03 -2.034312239000000091e+03 -2.142130449000000226e+03 -2.055272973000000093e+03 -2.112641020000000026e+03 -2.075882725999999820e+03 -1.913703195999999934e+03 -2.082820593999999801e+03 -1.976919771999999966e+03 -2.014774359000000004e+03 -2.044415631000000076e+03 -2.195792777000000115e+03 -2.122640661999999793e+03 -2.108820890999999847e+03 -1.977399247000000059e+03 -2.020439317999999957e+03 -2.091439957999999933e+03 -2.088356745000000046e+03 -2.315766321000000062e+03 -2.118243507000000136e+03 -1.958765472999999929e+03 -2.083508702000000085e+03 -2.078424476000000141e+03 -1.995147285999999895e+03 -1.917103841999999986e+03 -2.037505574000000024e+03 -1.897189470999999912e+03 -1.941829737000000023e+03 -2.125392381999999998e+03 -1.965489462000000003e+03 -2.019452882999999929e+03 -2.185840674999999919e+03 -2.089204901999999947e+03 -2.291484578000000056e+03 -2.013831159000000071e+03 -1.940938464000000067e+03 -1.890667040999999926e+03 -1.986852116999999907e+03 -1.994362583999999970e+03 -1.832365025000000060e+03 -1.950750493999999890e+03 -2.092950435000000198e+03 -2.136491195000000062e+03 -2.152238717000000179e+03 -1.814213359999999966e+03 -2.166897333999999773e+03 -1.837441252000000077e+03 -2.061151268999999957e+03 -1.983058684999999969e+03 -2.001298336000000063e+03
6.656369999999999898e+00 9.756180000000000518e+00 8.734700000000000131e+00 8.134209999999999496e+00 8.560739999999999128e+00 6.526080000000000325e+00 7.502530000000000143e+00 1.345565000000000033e+01 7.655300000000000438e+00 5.797069999999999723e+00 7.273810000000000109e+00 8.252549999999999386e+00 7.070710000000000051e+00 7.440470000000000361e+00 7.830779999999999852e+00 9.678789999999999338e+00 8.488929999999999865e+00 1.054804999999999993e+01 6.336769999999999570e+00 7.464830000000000076e+00 8.570479999999999876e+00 9.150380000000000180e+00 7.244080000000000297e+00 6.702980000000000160e+00 6.558860000000000134e+00 1.103889999999999993e+01 7.622370000000000090e+00 1.182821999999999996e+01 6.964400000000000368e+00 9.124320000000000874e+00 9.154180000000000206e+00 6.524519999999999875e+00 6.570619999999999905e+00 9.479100000000000747e+00 9.338409999999999656e+00 1.063227000000000011e+01 9.367630000000000123e+00 7.395509999999999806e+00 7.692709999999999937e+00 7.142879999999999896e+00 5.838659999999999961e+00 7.263469999999999871e+00 6.165090000000000181e+00 9.405070000000000263e+00 1.127279000000000053e+01 9.201850000000000307e+00 6.255270000000000330e+00 8.743109999999999715e+00 5.980649999999999800e+00 1.001262000000000008e+01 7.794880000000000031e+00 1.068673000000000073e+01 7.138020000000000032e+00 7.436320000000000263e+00 8.192379999999999995e+00 6.417729999999999713e+00 7.439619999999999678e+00 9.865339999999999776e+00 9.699120000000000630e+00 6.892900000000000027e+00 1.127083999999999975e+01 9.745520000000000849e+00 1.052039000000000080e+01 9.726369999999999294e+00 9.140209999999999724e+00 9.031409999999999272e+00 1.011665999999999954e+01 8.243650000000000588e+00 6.188109999999999999e+00 1.125264999999999915e+01 8.710839999999999250e+00 7.387839999999999741e+00 9.336529999999999774e+00 6.363949999999999996e+00 7.725010000000000154e+00 9.596370000000000289e+00 7.727529999999999788e+00 8.025169999999999249e+00 5.982840000000000380e+00 8.443799999999999528e+00 9.243610000000000326e+00 9.709070000000000533e+00 9.105990000000000251e+00 6.182489999999999597e+00 8.187709999999999155e+00
1.171999999999999931e+00 1.371220000000000105e+00 1.104030000000000067e+00 9.033099999999999463e-01 1.065669999999999895e+00 1.047260000000000080e+00 1.055479999999999974e+00 1.175780000000000047e+00 8.309699999999999864e-01 8.487200000000000299e-01 1.006839999999999957e+00 1.173159999999999981e+00 1.367729999999999890e+00 9.890299999999999647e-01 1.037439999999999918e+00 8.579299999999999704e-01 1.053889999999999993e+00 8.990500000000000158e-01 1.025369999999999893e+00 1.192919999999999980e+00 7.882400000000000517e-01 9.882600000000000273e-01 1.107429999999999914e+00 8.862200000000000077e-01 8.960900000000000531e-01 1.094840000000000035e+00 1.013619999999999965e+00 1.021220000000000017e+00 9.280599999999999961e-01 1.167300000000000004e+00 1.238720000000000043e+00 9.236199999999999966e-01 9.567299999999999693e-01 9.490899999999999892e-01 9.409399999999999986e-01 8.893999999999999684e-01 1.115350000000000064e+00 1.129000000000000004e+00 1.246450000000000058e+00 8.760099999999999554e-01 9.529499999999999638e-01 8.894199999999999884e-01 7.957600000000000229e-01 7.981300000000000061e-01 8.594199999999999617e-01 1.200010000000000021e+00 9.488100000000000422e-01 9.244999999999999885e-01 9.668499999999999872e-01 1.288459999999999939e+00 9.176699999999999857e-01 1.219950000000000090e+00 1.208769999999999900e+00 1.005719999999999947e+00 1.082589999999999941e+00 1.144290000000000029e+00 9.374099999999999655e-01 9.848999999999999977e-01 1.197950000000000070e+00 1.104989999999999917e+00 1.245160000000000045e+00 1.022250000000000103e+00 1.384290000000000020e+00 9.992600000000000371e-01 1.253789999999999960e+00 1.337239999999999984e+00 8.617899999999999450e-01 1.117750000000000021e+00 8.432600000000000096e-01 9.633399999999999741e-01 8.648700000000000276e-01 8.179199999999999804e-01 1.025849999999999929e+00 1.366730000000000000e+00 9.574300000000000033e-01 8.852900000000000214e-01 8.188400000000000123e-01 9.695700000000000429e-01 8.992599999999999483e-01 9.221799999999999997e-01 1.229139999999999899e+00 1.250850000000000017e+00 9.462199999999999500e-01 1.179789999999999894e+00 8.131300000000000194e-01
7.709999999999999840e-04 3.999999999999999819e-06 2.387600000000000139e-02 3.999999999999999819e-06 6.335000000000000353e-03 3.999999999999999819e-06 3.012300000000000047e-02 3.999999999999999819e-06 1.485599999999999941e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 4.041999999999999586e-03 1.578200000000000089e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 2.743800000000000058e-02 2.199600000000000166e-02 3.999999999999999819e-06 2.903000000000000198e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.145000000000000011e-02 3.999999999999999819e-06 9.336999999999999814e-03 5.604999999999999739e-03 3.999999999999999819e-06 3.999999999999999819e-06 1.386399999999999959e-02 1.347800000000000040e-02 8.980000000000000135e-03 3.999999999999999819e-06 3.999999999999999819e-06 2.238499999999999865e-02 6.231000000000000427e-03 3.999999999999999819e-06 1.601500000000000146e-02 1.136000000000000074e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.021400000000000086e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.078899999999999998e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.103099999999999914e-02 3.999999999999999819e-06 9.837000000000000258e-03 3.999999999999999819e-06 1.901900000000000118e-02 3.999999999999999819e-06 3.999999999999999819e-06 4.242499999999999744e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.618999999999999884e-03 3.999999999999999819e-06 3.999999999999999819e-06 9.348000000000000406e-03 3.999999999999999819e-06 2.193900000000000017e-02 1.175700000000000009e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.909909999999999997e-01 1.989200000000000135e-01 2.490680000000000116e-01 1.809179999999999955e-01 2.798680000000000057e-01 2.509830000000000116e-01 2.288920000000000121e-01 2.817729999999999957e-01 2.261759999999999882e-01 3.312550000000000217e-01 2.151839999999999864e-01 2.840539999999999732e-01 1.797920000000000074e-01 1.864979999999999971e-01 1.841770000000000074e-01 2.396230000000000027e-01 2.787959999999999883e-01 2.637599999999999945e-01 2.040359999999999951e-01 2.451069999999999915e-01 2.384340000000000070e-01 1.863630000000000009e-01 2.660529999999999839e-01 2.063580000000000136e-01 3.046420000000000239e-01 2.238350000000000062e-01 3.687819999999999987e-01 2.748160000000000047e-01 2.415029999999999955e-01 2.034559999999999980e-01 2.697869999999999990e-01 1.622510000000000063e-01 1.626740000000000130e-01 2.498910000000000020e-01 1.779229999999999978e-01 3.070359999999999756e-01 2.753479999999999817e-01 2.934919999999999751e-01 1.878869999999999985e-01 2.457080000000000097e-01 2.474040000000000128e-01 2.571809999999999929e-01 2.137390000000000123e-01 2.570999999999999952e-01 2.141699999999999993e-01 2.256019999999999970e-01 2.628090000000000148e-01 2.916989999999999861e-01 2.426830000000000098e-01 3.349670000000000147e-01 2.561620000000000008e-01 1.498780000000000112e-01 1.615679999999999894e-01 2.465269999999999961e-01 2.500310000000000032e-01 1.240880000000000039e-01 2.372039999999999982e-01 2.938370000000000148e-01 2.537320000000000131e-01 2.101840000000000097e-01 2.537090000000000178e-01 1.557310000000000083e-01 1.542290000000000050e-01 2.616140000000000132e-01 2.824749999999999761e-01 1.933729999999999893e-01 2.717280000000000251e-01 2.969550000000000245e-01 2.590009999999999812e-01 2.476230000000000098e-01 2.365520000000000123e-01 1.773740000000000039e-01 2.723709999999999742e-01 2.419330000000000092e-01 2.167429999999999912e-01 2.091469999999999996e-01 2.324120000000000075e-01 1.980989999999999973e-01 2.958899999999999864e-01 2.798720000000000097e-01 1.762960000000000083e-01 1.922609999999999875e-01 2.666040000000000076e-01 1.619899999999999951e-01 2.177449999999999941e-01
3.999999999999999819e-06 7.559999999999999880e-03 2.594099999999999878e-02 3.625999999999999883e-03 3.999999999999999819e-06 2.054200000000000123e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 9.827000000000000665e-03 2.460999999999999993e-02 3.999999999999999819e-06 9.913999999999999202e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.606600000000000084e-02 8.571000000000000493e-03 3.999999999999999819e-06 1.216599999999999973e-02 3.999999999999999819e-06 8.130999999999999339e-03 3.999999999999999819e-06 3.999999999999999819e-06 5.471000000000000169e-03 2.920999999999999985e-03 1.189300000000000079e-02 1.182500000000000044e-02 3.999999999999999819e-06 3.999999999999999819e-06 9.657999999999999918e-03 5.233999999999999937e-03 2.021900000000000086e-02 4.002999999999999614e-03 3.999999999999999819e-06 3.350999999999999812e-03 6.616000000000000353e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.771100000000000105e-02 7.403999999999999991e-03 3.999999999999999819e-06 3.999999999999999819e-06 9.983000000000000554e-03 6.723999999999999942e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.846799999999999831e-02 3.999999999999999819e-06 2.438600000000000143e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 2.733000000000000186e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.644400000000000028e-02 3.999999999999999819e-06 3.999999999999999819e-06 5.898999999999999730e-03 1.402800000000000054e-02 3.999999999999999819e-06 2.013000000000000032e-03 3.999999999999999819e-06 3.999999999999999819e-06
2.426770000000000038e-01 2.116089999999999915e-01 1.960500000000000020e-01 1.830140000000000100e-01 2.489719999999999989e-01 2.447479999999999933e-01 1.901789999999999869e-01 2.030470000000000053e-01 2.116520000000000068e-01 1.078749999999999987e-01 2.119270000000000043e-01 2.542659999999999920e-01 2.176649999999999974e-01 2.438180000000000069e-01 1.857399999999999884e-01 1.668429999999999913e-01 1.891190000000000093e-01 3.306080000000000130e-01 2.165890000000000037e-01 3.000500000000000042e-02 2.456250000000000100e-01 2.359080000000000066e-01 2.416089999999999904e-01 2.088289999999999869e-01 2.433649999999999980e-01 2.500740000000000185e-01 3.149199999999999916e-02 1.873940000000000050e-01 1.633409999999999862e-01 1.616479999999999861e-01 1.592999999999999972e-01 1.954770000000000119e-01 1.774610000000000076e-01 2.771770000000000067e-01 1.538609999999999978e-01 2.472890000000000088e-01 1.746189999999999964e-01 1.636130000000000084e-01 3.145099999999999979e-02 2.093980000000000008e-01 1.823110000000000008e-01 1.807789999999999953e-01 2.185209999999999930e-01 1.846170000000000033e-01 2.363079999999999903e-01 1.679120000000000057e-01 2.325290000000000135e-01 1.704120000000000079e-01 3.204350000000000254e-01 1.433159999999999989e-01 6.937400000000000511e-02 1.935300000000000076e-01 1.816599999999999882e-01 1.887250000000000039e-01 2.962600000000000233e-01 1.681930000000000092e-01 2.005699999999999983e-01 2.900780000000000025e-01 2.474149999999999960e-01 1.372589999999999921e-01 2.427100000000000091e-01 1.324760000000000104e-01 2.337849999999999928e-01 1.889200000000000046e-01 1.362599999999999922e-01 1.664019999999999944e-01 2.100750000000000117e-01 1.126169999999999949e-01 2.540589999999999793e-01 2.098250000000000115e-01 1.884210000000000051e-01 2.465110000000000079e-01 2.224500000000000088e-01 2.415930000000000022e-01 2.037309999999999954e-01 1.986900000000000055e-01 2.156399999999999983e-01 4.255300000000000055e-02 9.071799999999999309e-02 2.007909999999999973e-01 2.709900000000000087e-01 2.194979999999999987e-01 2.042180000000000106e-01 1.690949999999999953e-01 1.650399999999999923e-01
1.787310000000000010e-01 1.816300000000000137e-01 1.735649999999999971e-01 1.320079999999999865e-01 1.917659999999999920e-01 1.863420000000000076e-01 1.845680000000000098e-01 2.567309999999999870e-01 1.608549999999999980e-01 2.166949999999999987e-01 2.242889999999999884e-01 1.894649999999999945e-01 1.573410000000000086e-01 1.544010000000000105e-01 1.745440000000000047e-01 1.325999999999999956e-01 1.909820000000000129e-01 1.065180000000000016e-01 2.160719999999999863e-01 1.782860000000000000e-01 1.754449999999999898e-01 2.085180000000000089e-01 1.676950000000000107e-01 1.533680000000000043e-01 1.714370000000000061e-01 1.293370000000000075e-01 3.315299999999999914e-01 2.007349999999999968e-01 2.551970000000000072e-01 1.940419999999999923e-01 1.883960000000000079e-01 2.030309999999999893e-01 1.946289999999999965e-01 1.701739999999999919e-01 1.869510000000000061e-01 1.889200000000000046e-01 1.855769999999999920e-01 2.913729999999999931e-01 1.729259999999999964e-01 2.656270000000000020e-01 1.555559999999999998e-01 1.320290000000000075e-01 1.810140000000000082e-01 2.050869999999999915e-01 2.211130000000000040e-01 2.804679999999999951e-01 1.689849999999999963e-01 2.013149999999999940e-01 2.271160000000000123e-01 2.119910000000000128e-01 1.801290000000000113e-01 1.631259999999999932e-01 1.506270000000000109e-01 2.091699999999999948e-01 1.445240000000000136e-01 1.254480000000000040e-01 1.770980000000000054e-01 9.936899999999999900e-02 1.597949999999999926e-01 1.815140000000000087e-01 2.365480000000000083e-01 1.984619999999999995e-01 1.528539999999999899e-01 1.717370000000000008e-01 2.243630000000000069e-01 2.498930000000000040e-01 1.975250000000000061e-01 2.399280000000000024e-01 2.019749999999999879e-01 2.130140000000000089e-01 1.051610000000000045e-01 1.497840000000000005e-01 1.931009999999999949e-01 1.610330000000000095e-01 1.845960000000000101e-01 1.869820000000000093e-01 1.180889999999999995e-01 1.546410000000000007e-01 1.991010000000000002e-01 1.880189999999999917e-01 1.845440000000000136e-01 1.491349999999999898e-01 1.970419999999999949e-01 1.096850000000000047e-01 2.473239999999999883e-01
1.204700000000000042e-02 2.412100000000000008e-02 4.500099999999999933e-02 1.190599999999999992e-02 2.744299999999999864e-02 1.064900000000000048e-02 3.662100000000000077e-02 3.458300000000000263e-02 1.943399999999999989e-02 7.810200000000000475e-02 3.195800000000000030e-02 1.222700000000000002e-02 2.754300000000000151e-02 4.415299999999999780e-02 4.125899999999999707e-02 3.241900000000000337e-02 3.016500000000000084e-02 1.996300000000000158e-02 1.032399999999999984e-02 1.485599999999999976e-01 1.600700000000000039e-02 1.649000000000000118e-02 2.823900000000000021e-02 1.728100000000000122e-02 1.872899999999999912e-02 1.399399999999999950e-02 2.546899999999999858e-02 1.568999999999999909e-02 2.543799999999999881e-02 2.038999999999999840e-02 3.824700000000000322e-02 2.495400000000000049e-02 2.410299999999999943e-02 1.783900000000000069e-02 4.907000000000000250e-02 3.103200000000000056e-02 1.925500000000000128e-02 2.808700000000000085e-02 2.114209999999999978e-01 3.945400000000000296e-02 1.893999999999999850e-02 1.227600000000000045e-02 4.359799999999999787e-02 3.201799999999999785e-02 2.899399999999999894e-02 3.522200000000000331e-02 1.983499999999999847e-02 5.163299999999999834e-02 1.062500000000000076e-02 3.301099999999999868e-02 7.497900000000000398e-02 6.597300000000000386e-02 3.139499999999999930e-02 1.275779999999999970e-01 1.929700000000000165e-02 3.879900000000000015e-02 1.021269999999999956e-01 1.283699999999999945e-02 1.800099999999999964e-02 3.741300000000000181e-02 2.162499999999999839e-02 5.524899999999999950e-02 1.089599999999999944e-02 3.741499999999999687e-02 8.366899999999999338e-02 1.141999999999999960e-02 3.090999999999999998e-02 1.384720000000000117e-01 5.037300000000000111e-02 6.449000000000000565e-02 5.385299999999999809e-02 4.815999999999999968e-03 2.210000000000000159e-02 3.187500000000000056e-02 1.551899999999999981e-02 5.918600000000000250e-02 3.767399999999999916e-02 2.093309999999999893e-01 1.238670000000000049e-01 2.504899999999999835e-02 4.991600000000000203e-02 1.060900000000000037e-02 5.104299999999999810e-02 1.473999999999999963e-02 4.354000000000000231e-02
2.658599999999999852e-02 4.605999999999999851e-03 2.299800000000000108e-02 1.976800000000000085e-02 5.594299999999999967e-02 4.196600000000000330e-02 3.999999999999999819e-06 2.900900000000000006e-02 3.111999999999999836e-02 1.401699999999999995e-02 1.731399999999999953e-02 1.257899999999999990e-02 5.950000000000000427e-03 3.535699999999999954e-02 1.717300000000000076e-02 3.971999999999999836e-02 2.813699999999999882e-02 2.311799999999999966e-02 1.254000000000000080e-02 3.050220000000000153e-01 2.516699999999999840e-02 4.718300000000000272e-02 1.738100000000000062e-02 2.665400000000000061e-02 1.018200000000000008e-02 2.298899999999999902e-02 1.784000000000000169e-02 9.421999999999999820e-03 1.791200000000000084e-02 3.908699999999999675e-02 1.829700000000000076e-02 3.195499999999999730e-02 3.966299999999999687e-02 3.271700000000000302e-02 2.841300000000000076e-02 2.506999999999999854e-02 6.944200000000000372e-02 2.690299999999999983e-02 1.783089999999999953e-01 2.784800000000000123e-02 1.821100000000000149e-02 3.958199999999999913e-02 2.002299999999999913e-02 3.058999999999999914e-02 1.806200000000000166e-02 4.979999999999999705e-02 1.006300000000000076e-02 2.418199999999999864e-02 2.646400000000000141e-02 1.716799999999999923e-02 1.163290000000000018e-01 1.846000000000000071e-02 1.758499999999999994e-02 3.350000000000000113e-04 5.802299999999999819e-02 1.805500000000000160e-02 9.775000000000000702e-03 6.432799999999999629e-02 1.945900000000000060e-02 2.411299999999999902e-02 3.476900000000000129e-02 1.415389999999999981e-01 2.973999999999999908e-02 3.999999999999999819e-06 6.388399999999999634e-02 2.545899999999999899e-02 3.999999999999999819e-06 1.385850000000000137e-01 4.051799999999999846e-02 4.210499999999999660e-02 3.803299999999999736e-02 2.319099999999999981e-02 2.766000000000000056e-02 2.766899999999999915e-02 4.946899999999999908e-02 1.461199999999999999e-02 1.906800000000000161e-02 1.826089999999999935e-01 1.509359999999999868e-01 1.816600000000000159e-02 3.327800000000000202e-02 3.994299999999999934e-02 2.527199999999999933e-02 2.952799999999999869e-02 2.324000000000000111e-03
