# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 %IGC 
0.0	0.0	0	0	0	0	0.0
5.66115380444e-05	0.0	0	1	1	0	1.0
0.000356489730029	0.0	0	2	1	0	1.0
0.00142346377451	0.0	0	3	1	0	1.0
0.00229333772662	0.0	0	4	1	0	1.0
0.00281248742115	0.00204498977505	1	4	1	0	0.888888888889
0.00319462898075	0.0040899795501	2	4	1	0	0.8
0.00332110464987	0.0040899795501	2	5	1	0	0.833333333333
0.00478138480267	0.0040899795501	2	6	1	0	0.857142857143
0.00640694638149	0.00613496932515	3	6	1	0	0.8
0.00966031688749	0.0081799591002	4	6	1	0	0.75
0.0107562383965	0.0102249488753	5	6	1	0	0.705882352941
0.0137627799871	0.0102249488753	5	7	1	0	0.736842105263
0.0159851051501	0.0102249488753	5	8	1	0	0.761904761905
0.0165542120774	0.0122699386503	6	8	1	0	0.727272727273
0.0174577086322	0.0143149284254	7	8	1	0	0.695652173913
0.0182036206776	0.0163599182004	8	8	1	0	0.666666666667
0.0191683889427	0.0163599182004	8	9	1	0	0.692307692308
0.01936741323	0.0184049079755	9	9	1	0	0.666666666667
0.019689411483	0.0184049079755	9	10	1	0	0.689655172414
