# geo_1.0_sim_0 geo_1.0_sim_1 geo_1.0_sim_2 geo_1.0_sim_3 geo_1.0_sim_4 geo_1.0_sim_5 geo_1.0_sim_6 geo_1.0_sim_7 geo_1.0_sim_8 geo_1.0_sim_9 geo_1.0_sim_10 geo_1.0_sim_11 geo_1.0_sim_12 geo_1.0_sim_13 geo_1.0_sim_14 geo_1.0_sim_15 geo_1.0_sim_16 geo_1.0_sim_17 geo_1.0_sim_18 geo_1.0_sim_19 geo_1.0_sim_20 geo_1.0_sim_21 geo_1.0_sim_22 geo_1.0_sim_23 geo_1.0_sim_24 geo_1.0_sim_25 geo_1.0_sim_26 geo_1.0_sim_27 geo_1.0_sim_28 geo_1.0_sim_29 geo_1.0_sim_30 geo_1.0_sim_31 geo_1.0_sim_32 geo_1.0_sim_33 geo_1.0_sim_34 geo_1.0_sim_35 geo_1.0_sim_36 geo_1.0_sim_37 geo_1.0_sim_38 geo_1.0_sim_39 geo_1.0_sim_40 geo_1.0_sim_41 geo_1.0_sim_42 geo_1.0_sim_43 geo_1.0_sim_45 geo_1.0_sim_46 geo_1.0_sim_47 geo_1.0_sim_48 geo_1.0_sim_49 geo_1.0_sim_50 geo_1.0_sim_51 geo_1.0_sim_52 geo_1.0_sim_53 geo_1.0_sim_54 geo_1.0_sim_55 geo_1.0_sim_56 geo_1.0_sim_57 geo_1.0_sim_58 geo_1.0_sim_59 geo_1.0_sim_60 geo_1.0_sim_61 geo_1.0_sim_62 geo_1.0_sim_63 geo_1.0_sim_64 geo_1.0_sim_65 geo_1.0_sim_66 geo_1.0_sim_67 geo_1.0_sim_68 geo_1.0_sim_69 geo_1.0_sim_70 geo_1.0_sim_71 geo_1.0_sim_72 geo_1.0_sim_73 geo_1.0_sim_74 geo_1.0_sim_75 geo_1.0_sim_76 geo_1.0_sim_77 geo_1.0_sim_78 geo_1.0_sim_79 geo_1.0_sim_80 geo_1.0_sim_81 geo_1.0_sim_82 geo_1.0_sim_83 geo_1.0_sim_84 geo_1.0_sim_85 geo_1.0_sim_86 geo_1.0_sim_87 geo_1.0_sim_88 geo_1.0_sim_89 geo_1.0_sim_90 geo_1.0_sim_91 geo_1.0_sim_92 geo_1.0_sim_93 geo_1.0_sim_94 geo_1.0_sim_95 geo_1.0_sim_96 geo_1.0_sim_97 geo_1.0_sim_98 geo_1.0_sim_99
-1.981471549000000095e+03 -2.094540793000000122e+03 -2.017542971999999963e+03 -2.189696696999999858e+03 -2.152798431000000164e+03 -2.003514740999999958e+03 -2.219481803000000127e+03 -2.007543936000000031e+03 -1.997063928000000033e+03 -2.102686563000000206e+03 -2.121975428000000193e+03 -2.012958879000000024e+03 -2.132900857000000087e+03 -2.164462883000000147e+03 -2.056636312000000089e+03 -1.990045753999999988e+03 -1.964129756999999927e+03 -2.158575859000000037e+03 -2.083601880000000165e+03 -2.058330371000000014e+03 -1.976666234999999915e+03 -2.110360936999999922e+03 -2.313899178000000120e+03 -2.116533949000000121e+03 -2.141455719999999928e+03 -2.019512073000000100e+03 -2.020530079999999998e+03 -2.063019639999999981e+03 -2.054846179000000120e+03 -2.039508829000000105e+03 -1.998922598000000107e+03 -2.170041006999999809e+03 -2.150544025000000147e+03 -2.109114372999999887e+03 -2.008677206999999953e+03 -1.978101466999999957e+03 -2.171460834999999861e+03 -2.094240041000000019e+03 -2.134424657000000025e+03 -2.131271115999999893e+03 -2.085679303999999775e+03 -2.025457038999999895e+03 -2.033801144000000022e+03 -2.005069942000000083e+03 -2.190307212000000163e+03 -2.118696010000000115e+03 -2.244243442999999843e+03 -2.025558629999999994e+03 -2.111494314000000031e+03 -2.188992854000000079e+03 -2.167389340000000175e+03 -2.205905134999999973e+03 -1.913389910999999984e+03 -2.054678183999999874e+03 -2.097076711000000159e+03 -2.191246544999999969e+03 -2.159036412999999811e+03 -2.061714942999999948e+03 -2.039953588000000082e+03 -2.125709598999999798e+03 -2.069809053999999833e+03 -1.899063045000000102e+03 -2.160582933000000139e+03 -2.162031004999999823e+03 -2.080367212000000109e+03 -2.099461463000000094e+03 -2.116814412000000175e+03 -2.218796138000000155e+03 -2.072721246000000065e+03 -1.990666238999999905e+03 -2.150759231999999884e+03 -1.995107827999999927e+03 -2.051486066999999821e+03 -2.107171608000000106e+03 -2.095258815000000141e+03 -2.084839977999999974e+03 -2.094017071000000215e+03 -2.137831439000000046e+03 -2.147193938999999773e+03 -2.240397898000000168e+03 -2.165509532000000036e+03 -2.170112680000000182e+03 -2.098139016999999967e+03 -2.155950264000000061e+03 -2.023761893000000100e+03 -2.175023979000000054e+03 -2.174842153000000053e+03 -2.141164670999999998e+03 -2.233263497999999800e+03 -2.122462074999999913e+03 -2.119056231999999909e+03 -2.094628941999999824e+03 -1.969113436000000092e+03 -2.015162217999999939e+03 -2.178976321000000098e+03 -2.132528326000000106e+03 -1.996218033000000105e+03 -2.197945568000000094e+03 -2.145848105000000032e+03
6.746769999999999712e+00 5.824830000000000396e+00 9.767849999999999255e+00 8.467169999999999419e+00 8.208589999999999165e+00 1.008985999999999983e+01 8.142549999999999955e+00 8.856170000000000542e+00 8.438620000000000232e+00 5.601869999999999905e+00 8.546739999999999782e+00 6.197639999999999816e+00 5.922180000000000000e+00 8.295799999999999841e+00 9.006980000000000430e+00 8.598259999999999792e+00 8.369279999999999831e+00 8.562379999999999214e+00 9.573679999999999524e+00 1.163968000000000025e+01 8.128099999999999881e+00 6.472660000000000302e+00 8.697110000000000340e+00 6.059960000000000235e+00 1.068529000000000018e+01 8.870319999999999538e+00 9.106469999999999843e+00 6.345180000000000042e+00 9.598240000000000549e+00 8.931269999999999598e+00 7.464900000000000091e+00 7.305780000000000385e+00 7.957099999999999618e+00 6.606939999999999813e+00 6.691329999999999778e+00 7.968639999999999723e+00 9.391880000000000450e+00 8.796689999999999898e+00 6.825960000000000250e+00 9.533300000000000551e+00 7.953039999999999665e+00 1.063832000000000022e+01 9.091699999999999449e+00 1.007948000000000022e+01 6.475060000000000038e+00 9.303390000000000271e+00 8.860569999999999169e+00 7.807839999999999669e+00 8.117879999999999541e+00 7.322689999999999699e+00 6.559660000000000046e+00 8.408689999999999998e+00 5.251459999999999795e+00 8.759600000000000719e+00 8.630459999999999354e+00 7.648550000000000182e+00 9.669819999999999638e+00 6.001730000000000231e+00 9.873450000000000060e+00 9.114449999999999719e+00 1.009737999999999936e+01 1.038851999999999975e+01 7.679079999999999906e+00 8.217810000000000059e+00 8.564009999999999678e+00 7.133399999999999963e+00 9.427210000000000534e+00 7.938699999999999868e+00 9.996740000000000848e+00 5.905369999999999564e+00 9.108060000000000045e+00 8.991070000000000562e+00 9.916959999999999553e+00 9.663270000000000692e+00 7.731370000000000076e+00 6.714489999999999625e+00 1.148877000000000059e+01 8.469469999999999388e+00 9.961660000000000181e+00 6.465770000000000017e+00 7.242079999999999629e+00 7.995149999999999757e+00 1.056668999999999947e+01 9.249380000000000379e+00 7.187380000000000102e+00 8.147370000000000445e+00 1.274911999999999956e+01 8.147389999999999688e+00 5.881260000000000154e+00 1.063001000000000040e+01 7.085009999999999586e+00 8.133570000000000633e+00 8.713400000000000034e+00 8.136720000000000397e+00 7.020450000000000301e+00 9.070309999999999206e+00 8.246740000000000848e+00 1.019297000000000075e+01 6.669400000000000439e+00
6.744400000000000395e-01 9.332700000000000440e-01 9.079500000000000348e-01 9.283900000000000485e-01 9.914199999999999680e-01 9.251399999999999624e-01 9.177499999999999547e-01 7.509700000000000264e-01 9.838299999999999823e-01 9.507600000000000495e-01 8.090100000000000069e-01 6.555400000000000116e-01 9.459300000000000486e-01 1.029179999999999984e+00 1.116619999999999946e+00 1.107660000000000089e+00 1.131520000000000081e+00 9.513899999999999579e-01 8.101099999999999968e-01 1.181619999999999893e+00 8.597099999999999742e-01 7.942900000000000515e-01 1.234730000000000105e+00 1.273479999999999945e+00 1.018829999999999902e+00 6.411599999999999522e-01 9.599600000000000355e-01 1.062210000000000099e+00 1.322570000000000023e+00 9.445900000000000407e-01 1.040140000000000065e+00 8.797099999999999920e-01 1.161219999999999919e+00 1.127310000000000034e+00 9.304200000000000248e-01 1.018280000000000074e+00 7.341499999999999693e-01 8.365000000000000213e-01 1.265409999999999924e+00 1.003679999999999906e+00 7.816400000000000015e-01 9.958700000000000330e-01 1.014380000000000059e+00 1.018610000000000015e+00 8.697399999999999576e-01 1.072899999999999965e+00 1.093560000000000088e+00 7.331100000000000394e-01 9.461100000000000065e-01 1.040850000000000053e+00 9.686299999999999910e-01 1.007349999999999968e+00 9.734599999999999920e-01 9.955600000000000005e-01 8.882499999999999840e-01 9.474700000000000344e-01 1.081499999999999906e+00 1.320820000000000105e+00 1.194290000000000074e+00 9.348899999999999988e-01 1.077970000000000095e+00 1.119380000000000042e+00 1.122829999999999995e+00 1.130609999999999893e+00 1.004720000000000057e+00 1.019099999999999895e+00 1.015460000000000029e+00 9.201399999999999579e-01 8.145099999999999563e-01 8.287099999999999467e-01 1.082330000000000014e+00 1.228879999999999972e+00 9.440600000000000103e-01 8.412199999999999678e-01 1.274499999999999966e+00 9.485099999999999643e-01 9.004499999999999726e-01 9.922499999999999654e-01 1.051490000000000036e+00 1.033079999999999998e+00 8.866399999999999837e-01 9.514700000000000379e-01 1.063609999999999944e+00 1.012199999999999989e+00 9.156600000000000295e-01 9.248600000000000154e-01 9.340800000000000214e-01 1.038599999999999968e+00 8.229999999999999538e-01 1.076829999999999954e+00 1.018680000000000030e+00 8.123799999999999910e-01 1.100680000000000103e+00 8.210600000000000120e-01 9.068300000000000249e-01 9.849299999999999722e-01 7.461499999999999799e-01 1.089409999999999989e+00 1.020550000000000068e+00
1.405810000000000115e-01 1.418119999999999936e-01 1.316420000000000090e-01 1.379650000000000043e-01 1.034759999999999985e-01 1.229930000000000051e-01 1.354569999999999941e-01 1.277610000000000134e-01 1.113660000000000067e-01 1.165339999999999987e-01 1.362690000000000012e-01 1.543960000000000055e-01 1.282359999999999889e-01 1.123050000000000020e-01 1.143580000000000013e-01 1.283569999999999989e-01 1.149990000000000040e-01 1.823889999999999956e-01 1.270229999999999970e-01 1.187990000000000018e-01 1.852250000000000008e-01 1.372569999999999901e-01 1.229119999999999935e-01 1.211590000000000028e-01 1.399809999999999943e-01 1.229780000000000040e-01 1.534679999999999933e-01 1.374489999999999879e-01 1.280880000000000074e-01 1.125440000000000051e-01 1.106700000000000045e-01 1.312919999999999920e-01 1.680369999999999919e-01 1.359619999999999995e-01 2.656000000000000028e-02 1.413999999999999979e-02 1.079719999999999985e-01 1.379209999999999881e-01 1.498099999999999953e-02 1.543950000000000045e-01 2.271289999999999976e-01 1.389459999999999862e-01 9.801700000000000690e-02 1.362680000000000002e-01 1.552439999999999931e-01 2.183999999999999830e-02 1.501450000000000007e-01 1.416449999999999931e-01 1.301400000000000057e-01 1.046500000000000069e-01 1.685840000000000116e-01 1.275650000000000117e-01 1.212789999999999979e-01 1.276919999999999999e-01 1.304450000000000054e-01 1.298620000000000052e-01 2.617360000000000242e-01 1.435740000000000072e-01 1.089610000000000023e-01 1.428119999999999945e-01 1.514729999999999965e-01 1.025760000000000005e-01 4.320299999999999835e-02 1.527840000000000031e-01 1.179619999999999974e-01 1.211040000000000033e-01 1.269990000000000008e-01 1.248240000000000044e-01 1.253199999999999870e-01 1.012630000000000058e-01 1.554129999999999956e-01 1.127559999999999951e-01 1.607419999999999960e-01 1.427519999999999900e-01 1.142579999999999985e-01 1.464010000000000034e-01 2.130330000000000001e-01 1.098370000000000041e-01 1.468649999999999956e-01 1.476860000000000117e-01 1.618900000000000061e-01 1.152210000000000040e-01 1.204579999999999956e-01 1.557369999999999866e-01 1.039009999999999934e-01 1.033540000000000014e-01 1.522390000000000132e-01 1.292389999999999928e-01 1.230210000000000053e-01 1.287540000000000073e-01 1.606660000000000033e-01 1.242510000000000003e-01 1.453200000000000047e-01 1.507400000000000129e-01 5.388199999999999934e-02 1.392170000000000074e-01 1.399239999999999928e-01 1.543480000000000130e-01 1.552999999999999936e-01
1.219610000000000000e-01 1.231960000000000000e-01 1.130450000000000066e-01 1.193580000000000058e-01 8.487799999999999512e-02 5.695900000000000268e-02 6.638299999999999756e-02 1.119099999999999956e-01 9.276600000000000124e-02 9.791700000000000403e-02 1.176600000000000007e-01 8.294400000000000384e-02 8.992100000000000093e-02 1.659460000000000102e-01 9.575899999999999690e-02 1.097449999999999953e-01 9.639200000000000546e-02 9.822799999999999587e-02 1.084279999999999966e-01 1.002539999999999959e-01 5.996300000000000241e-02 1.197180000000000050e-01 1.042870000000000047e-01 1.025459999999999983e-01 1.213869999999999949e-01 1.043690000000000034e-01 1.348550000000000026e-01 1.188469999999999943e-01 1.094920000000000060e-01 9.393700000000000661e-02 9.214999999999999580e-02 1.126830000000000054e-01 1.494199999999999973e-01 1.173540000000000000e-01 1.378749999999999976e-01 1.852870000000000072e-01 1.081929999999999975e-01 1.193110000000000004e-01 3.096140000000000003e-01 4.175000000000000239e-02 2.733000000000000013e-02 1.203380000000000005e-01 7.940400000000000236e-02 1.176939999999999931e-01 1.366259999999999974e-01 2.555899999999999839e-01 1.315590000000000093e-01 1.230460000000000026e-01 1.115329999999999933e-01 8.606400000000000161e-02 1.215340000000000031e-01 1.089340000000000031e-01 1.026770000000000044e-01 1.089620000000000033e-01 1.118380000000000069e-01 1.112540000000000057e-01 1.115540000000000004e-01 1.250259999999999982e-01 1.510259999999999936e-01 1.241860000000000047e-01 1.328469999999999929e-01 8.397499999999999409e-02 1.960570000000000090e-01 1.116719999999999935e-01 9.934800000000000575e-02 1.025070000000000009e-01 1.083950000000000052e-01 1.062049999999999939e-01 1.067260000000000014e-01 8.265500000000000624e-02 1.464459999999999928e-01 1.193899999999999961e-01 1.421139999999999903e-01 1.241899999999999948e-01 9.564300000000000579e-02 1.277909999999999879e-01 2.379000000000000038e-03 9.122600000000000153e-02 1.282679999999999931e-01 1.290630000000000110e-01 1.433290000000000119e-01 9.664799999999999780e-02 1.018580000000000041e-01 1.371400000000000119e-01 8.529299999999999382e-02 8.476000000000000201e-02 1.336430000000000118e-01 1.106339999999999962e-01 1.043430000000000052e-01 1.101499999999999979e-01 1.185900000000000010e-01 9.786499999999999366e-02 1.267129999999999923e-01 1.321340000000000015e-01 2.097930000000000073e-01 1.229179999999999995e-01 1.213290000000000063e-01 1.357420000000000015e-01 1.337669999999999970e-01
3.999999999999999819e-06 1.722999999999999922e-03 2.269000000000000183e-03 2.602999999999999845e-03 1.899199999999999847e-02 2.032099999999999879e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.118999999999999986e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.423000000000000003e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.690200000000000036e-02 2.180000000000000134e-04 3.999999999999999819e-06 9.009999999999999997e-04 3.999999999999999819e-06 1.935100000000000015e-02 1.813000000000000028e-02 8.680000000000000215e-03 3.999999999999999819e-06 1.485599999999999941e-02 3.999999999999999819e-06 3.999999999999999819e-06 8.937999999999999765e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.742999999999999862e-03 3.999999999999999819e-06 3.999999999999999819e-06 4.039000000000000055e-03 6.102999999999999918e-03 5.284999999999999767e-03 1.278000000000000056e-03 9.000000000000000228e-06 3.999999999999999819e-06 9.622999999999999610e-03 3.999999999999999819e-06 3.999999999999999819e-06 4.137000000000000052e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 5.065000000000000058e-03 1.859500000000000042e-02 1.323599999999999950e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.260000000000000009e-02 3.999999999999999819e-06 2.281899999999999901e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 7.690000000000000438e-04 5.580000000000000107e-04 3.999999999999999819e-06 3.999999999999999819e-06 1.571200000000000027e-02 3.999999999999999819e-06 3.999999999999999819e-06 2.480900000000000119e-02 1.660899999999999876e-02 2.306700000000000070e-02 3.999999999999999819e-06 4.322999999999999586e-03 3.999999999999999819e-06 3.999999999999999819e-06 1.022200000000000018e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.310999999999999770e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06
2.115999999999999825e-03 2.254199999999999954e-02 3.999999999999999819e-06 1.356899999999999946e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.009700000000000007e-02 3.999999999999999819e-06 2.226000000000000114e-03 7.823000000000000093e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 4.714999999999999573e-03 6.030000000000000204e-04 3.999999999999999819e-06 3.999999999999999819e-06 4.394999999999999601e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 9.841000000000000789e-03 1.103799999999999920e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.575599999999999917e-02 7.953999999999999265e-03 6.718000000000000013e-03 3.999999999999999819e-06 4.600000000000000139e-04 9.261000000000000135e-03 3.965999999999999907e-03 3.999999999999999819e-06 3.999999999999999819e-06 4.602000000000000188e-03 1.201699999999999990e-02 3.999999999999999819e-06 3.999999999999999819e-06 6.700000000000000226e-03 1.502500000000000016e-02 3.999999999999999819e-06 3.897999999999999989e-03 3.999999999999999819e-06 1.039600000000000073e-02 1.703899999999999859e-02 3.999999999999999819e-06 1.314399999999999943e-02 3.999999999999999819e-06 3.999999999999999819e-06 7.160999999999999831e-03 1.012000000000000052e-02 1.969200000000000117e-02 3.999999999999999819e-06 3.999999999999999819e-06 4.070999999999999966e-03 3.999999999999999819e-06 1.359499999999999945e-02 3.999999999999999819e-06 2.076899999999999927e-02 3.999999999999999819e-06 3.999999999999999819e-06 1.414699999999999985e-02 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.629000000000000023e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.551000000000000078e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 1.345200000000000042e-02 3.999999999999999819e-06 3.861999999999999982e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.999999999999999819e-06 6.331999999999999955e-03 5.509000000000000008e-03 3.999999999999999819e-06 6.869000000000000106e-03 6.769999999999999976e-03 3.999999999999999819e-06 9.740999999999999659e-03 3.999999999999999819e-06 3.999999999999999819e-06 1.761199999999999918e-02 3.999999999999999819e-06 6.734000000000000402e-03 3.999999999999999819e-06 3.999999999999999819e-06 3.820000000000000045e-03 3.999999999999999819e-06
1.375300000000000133e-01 1.702690000000000037e-01 1.716409999999999880e-01 1.559300000000000130e-01 2.569219999999999837e-01 2.398270000000000124e-01 1.547709999999999919e-01 1.748919999999999919e-01 1.820299999999999974e-01 1.689289999999999958e-01 1.230109999999999953e-01 2.075799999999999867e-01 1.609490000000000087e-01 1.894089999999999940e-01 1.971779999999999922e-01 1.348679999999999879e-01 1.677819999999999867e-01 1.958080000000000098e-01 1.830269999999999953e-01 1.045600000000000002e-01 1.568180000000000129e-01 1.136029999999999957e-01 2.281590000000000007e-01 1.989100000000000035e-01 2.188430000000000097e-01 1.481470000000000009e-01 1.489640000000000131e-01 2.022539999999999893e-01 1.903489999999999904e-01 1.864540000000000086e-01 1.434789999999999954e-01 2.080609999999999959e-01 1.868740000000000123e-01 1.540199999999999902e-01 1.663709999999999911e-01 2.017529999999999879e-01 1.690399999999999958e-01 1.939629999999999965e-01 2.519640000000000213e-01 1.446369999999999878e-01 1.196929999999999938e-01 1.939210000000000100e-01 1.764390000000000125e-01 2.562980000000000258e-01 1.758230000000000071e-01 1.439300000000000024e-01 1.826669999999999960e-01 1.377609999999999946e-01 1.925489999999999979e-01 1.613159999999999872e-01 1.443250000000000088e-01 1.434310000000000029e-01 1.724779999999999924e-01 1.400389999999999968e-01 1.904119999999999979e-01 1.808069999999999955e-01 1.684970000000000079e-01 2.330010000000000137e-01 1.744070000000000065e-01 1.959029999999999938e-01 2.034900000000000042e-01 2.443569999999999909e-01 1.326039999999999996e-01 2.091280000000000083e-01 1.985409999999999953e-01 1.725170000000000037e-01 2.215699999999999892e-01 1.995659999999999934e-01 2.547340000000000160e-01 1.379890000000000005e-01 1.886829999999999896e-01 1.913690000000000113e-01 2.407729999999999870e-01 2.892669999999999964e-01 1.897590000000000110e-01 1.623769999999999936e-01 1.532799999999999996e-01 2.455849999999999977e-01 2.213150000000000117e-01 1.674740000000000117e-01 2.160019999999999996e-01 2.240600000000000092e-01 1.421679999999999888e-01 1.529200000000000004e-01 1.856150000000000022e-01 1.482499999999999929e-01 1.795180000000000109e-01 1.990200000000000025e-01 1.213280000000000053e-01 1.407460000000000100e-01 1.283130000000000104e-01 1.473289999999999877e-01 1.712960000000000038e-01 2.151659999999999962e-01 1.931350000000000011e-01 1.527570000000000039e-01 2.065710000000000046e-01 1.748969999999999969e-01 1.895959999999999868e-01
2.041640000000000121e-01 1.893910000000000038e-01 1.798649999999999971e-01 1.815930000000000044e-01 1.417670000000000041e-01 2.065019999999999911e-01 1.774769999999999959e-01 1.620479999999999976e-01 1.809119999999999895e-01 2.461150000000000004e-01 1.889019999999999866e-01 1.589049999999999907e-01 1.320119999999999905e-01 2.310699999999999976e-01 1.876500000000000112e-01 1.885129999999999861e-01 1.962939999999999963e-01 2.001970000000000138e-01 2.301269999999999982e-01 2.262919999999999932e-01 1.753190000000000026e-01 2.383399999999999963e-01 2.496109999999999995e-01 2.137620000000000076e-01 1.498819999999999875e-01 1.596859999999999946e-01 2.479870000000000130e-01 1.592600000000000127e-01 1.828490000000000115e-01 1.421520000000000006e-01 1.571120000000000017e-01 1.943249999999999977e-01 2.082120000000000082e-01 2.765320000000000000e-01 2.193859999999999977e-01 1.614970000000000017e-01 2.426570000000000116e-01 1.817999999999999894e-01 1.428439999999999988e-01 2.416830000000000089e-01 1.492610000000000048e-01 1.607270000000000088e-01 1.930469999999999964e-01 2.068220000000000058e-01 2.588079999999999825e-01 2.244589999999999919e-01 2.262949999999999962e-01 1.617929999999999924e-01 1.476139999999999952e-01 2.728940000000000254e-01 2.162880000000000080e-01 2.199770000000000059e-01 1.059090000000000031e-01 1.926920000000000022e-01 2.011940000000000117e-01 2.715770000000000128e-01 2.137620000000000076e-01 2.000810000000000088e-01 2.524580000000000157e-01 1.706580000000000041e-01 1.002230000000000065e-01 1.443560000000000121e-01 1.691390000000000116e-01 2.311580000000000024e-01 2.086860000000000104e-01 1.648300000000000043e-01 1.924500000000000099e-01 3.233489999999999975e-01 2.595939999999999914e-01 1.534880000000000133e-01 1.155650000000000011e-01 1.734130000000000116e-01 1.444729999999999903e-01 1.341259999999999952e-01 2.274639999999999995e-01 1.945620000000000127e-01 2.024880000000000013e-01 1.397599999999999953e-01 1.890529999999999988e-01 1.986169999999999880e-01 1.477279999999999982e-01 2.693150000000000266e-01 1.996259999999999979e-01 1.936809999999999921e-01 1.835900000000000032e-01 1.862330000000000096e-01 1.816619999999999902e-01 1.844020000000000103e-01 2.005770000000000053e-01 2.816730000000000067e-01 1.964140000000000053e-01 1.815319999999999989e-01 1.461020000000000096e-01 2.080130000000000035e-01 1.906859999999999944e-01 2.526559999999999917e-01 2.328030000000000099e-01 1.645739999999999981e-01 1.347899999999999932e-01
2.529299999999999951e-02 3.447800000000000170e-02 4.363000000000000211e-02 2.388099999999999945e-02 4.666200000000000209e-02 5.301499999999999962e-02 5.962900000000000145e-02 2.474300000000000110e-02 4.626199999999999757e-02 4.817500000000000254e-02 5.937900000000000122e-02 3.464899999999999924e-02 5.237399999999999695e-02 2.397499999999999978e-02 3.000699999999999895e-02 3.150200000000000222e-02 6.337299999999999878e-02 1.111499999999999988e-02 3.803600000000000037e-02 4.108500000000000346e-02 3.286000000000000032e-02 5.812099999999999905e-02 9.183399999999999896e-02 4.563199999999999895e-02 2.583500000000000033e-02 5.630399999999999988e-02 5.261600000000000305e-02 3.686199999999999893e-02 2.821200000000000097e-02 3.178399999999999975e-02 3.679799999999999738e-02 3.881500000000000228e-02 8.459700000000000553e-02 2.445800000000000057e-02 5.001400000000000290e-02 3.652600000000000291e-02 6.612400000000000222e-02 6.036699999999999705e-02 3.795599999999999669e-02 3.290099999999999969e-02 6.320000000000000097e-03 6.023900000000000088e-02 2.480500000000000066e-02 3.482400000000000079e-02 4.828500000000000153e-02 2.206699999999999981e-02 1.471199999999999938e-02 2.362300000000000164e-02 1.054899999999999935e-02 3.364000000000000323e-02 8.156800000000000161e-02 6.134200000000000069e-02 3.367300000000000154e-02 3.281499999999999695e-02 4.644199999999999717e-02 6.231099999999999833e-02 2.337799999999999948e-02 2.780499999999999985e-02 2.737799999999999956e-02 3.742100000000000287e-02 6.215299999999999991e-02 1.945600000000000107e-02 3.670299999999999951e-02 4.616900000000000170e-02 3.044699999999999837e-02 5.638100000000000056e-02 3.002499999999999961e-02 4.549700000000000272e-02 5.268899999999999972e-02 2.562599999999999947e-02 6.232499999999999846e-02 3.080899999999999958e-02 3.809599999999999792e-02 4.967599999999999794e-02 2.594700000000000131e-02 4.298899999999999944e-02 3.961400000000000338e-02 3.893100000000000033e-02 1.814599999999999894e-02 7.176100000000000534e-02 4.987500000000000266e-02 4.278599999999999764e-02 4.412399999999999656e-02 5.265299999999999842e-02 2.332000000000000045e-02 4.307300000000000018e-02 4.813499999999999723e-02 5.430299999999999710e-02 4.544900000000000329e-02 5.334300000000000153e-02 3.833199999999999802e-02 6.285000000000000309e-02 6.594099999999999961e-02 3.663999999999999896e-02 4.672599999999999670e-02 2.356199999999999961e-02 2.800300000000000011e-02 5.429300000000000098e-02 8.339000000000000579e-02
