# time 	 divergence 	 # of mutations 	 # IGC chances 	 IGC length 	 # IGC failures 	 Changes due to IGC  	 % change due to IGC 
0.0	0.0081799591002	0	0	0	0	0	0.0
6.18059395308e-05	0.0081799591002	0	1	2	0	0	0.0
0.000362155695901	0.0102249488753	1	1	2	0	0	0.0
0.000454358355866	0.0122699386503	2	1	2	0	0	0.0
0.000616552552959	0.0143149284254	3	1	2	0	0	0.0
0.000651944296006	0.0143149284254	3	2	2	0	0	0.0
0.000668134762696	0.0143149284254	3	3	1	0	0	0.0
0.000694099039206	0.0143149284254	3	4	3	0	0	0.0
0.00274539833509	0.0143149284254	3	5	2	0	0	0.0
0.00495692660025	0.0143149284254	3	6	1	0	0	0.0
0.0057607536083	0.0143149284254	3	7	2	0	0	0.0
0.00638502830196	0.0163599182004	4	7	2	0	0	0.0
0.00651022847544	0.0184049079755	5	7	2	0	0	0.0
0.00700067509033	0.0184049079755	5	8	2	0	0	0.0
0.00712310039865	0.0184049079755	5	9	1	0	0	0.0
0.00916840726479	0.0204498977505	6	9	1	0	0	0.0
0.0094308120054	0.0204498977505	6	10	1	0	0	0.0
0.0103558278726	0.0184049079755	6	11	5	0	1	0.142857142857
0.0114813586567	0.0184049079755	6	12	2	0	1	0.142857142857
0.0126129125528	0.0184049079755	6	13	2	0	1	0.142857142857
0.0129112506735	0.0204498977505	7	13	2	0	1	0.125
0.01539005307	0.0204498977505	7	14	3	0	1	0.125
0.0170525547186	0.0204498977505	7	15	2	0	1	0.125
0.0197316287525	0.0204498977505	7	16	2	0	1	0.125
0.02048075061	0.0204498977505	7	17	1	0	1	0.125
0.0210288214752	0.0184049079755	7	18	8	0	2	0.222222222222
0.0216685104039	0.0184049079755	7	19	5	0	2	0.222222222222
0.0222822547464	0.0204498977505	8	19	5	0	2	0.2
0.0242020206421	0.0224948875256	9	19	5	0	2	0.181818181818
0.0254430751305	0.0245398773006	10	19	5	0	2	0.166666666667
0.0265926456311	0.0265848670757	11	19	5	0	2	0.153846153846
0.0293420566547	0.0286298568507	12	19	5	0	2	0.142857142857
0.0351998365889	0.0286298568507	12	20	4	0	2	0.142857142857
